,brand,location,page,year,initials
50680,"(,,J,5,,,,,,1",66071,2,2016,1
50918,"+,,M,,,,,,,,2",67058,6,2016,1
51182,"-,,AR5T,,,,,2",67835,10,2016,1
51195,"-,,B,,-,,,,,2",67846,11,2016,1
51245,"-,,BX2O,,,,,2",67521,12,2016,0
51339,"-,,D,,V,,,,,1",67601,13,2016,0
51373,"-,,E,,,,,,,,22",67124,14,2016,0
51384,"-,,E,5I,,,,,1",67864,14,2016,0
51377,"-,,E,,B,,,,,1",67401,14,2016,1
51429,"-,,H,,,,,,,,52",66834,15,2016,0
51886,"-,,R,,,,,,,,22",66056,23,2016,1
51966,"-,,S,,QC,,,,12",67480,24,2016,1
51965,"-,,S,,QC,,,,21",66449,24,2016,1
51988,"-,,S,6,,,,,,31",66901,25,2016,1
52149,"-,,Y,,-,,,,,21",67068,27,2016,1
52213,"/,,/,,H,,,,,1",67871,29,2016,1
52300,"/,,E,,/,,,,,1",67410,30,2016,1
52448,"/,,S,,,,,,,,6",66521,33,2016,1
52598,"2,2C,,,,,,,,1",67023,35,2016,0
52651,"3,,F,,,,,,,,2",66416,36,2016,1
52700,"3,,W,,,,,,,,61",67951,37,2016,1
52729,"4,,7,2J,2-,,1",67640,38,2016,1
52901,"5,,J,,,,,,,,2",67576,41,2016,0
52953,"6,5B,,,,,,,,1",67733,42,2016,1
53023,"7,,A,17,2,,,5",66736,43,2016,1
53100,"7,,G,,,,,,,,12",67212,44,2016,1
53080,"7,,E,2,,,,,,4",66779,44,2016,0
53325,"7,,V,,-,,,,,61",67045,48,2016,0
53317,"7,,U,,,,,,,,1",66538,48,2016,0
53329,"7,,V,,7,2,,,2",67761,48,2016,1
53372,"7,,X,,,,,,,,14",67439,49,2016,0
53529,"9,,H,,,,,,,,13",67733,52,2016,0
53607,"=,,J,2,,,,,,1",67361,53,2016,1
53674,"A,,5,,,,,,,,4",67138,54,2016,1
53657,"=,,W,,,,,,,,21",67138,54,2016,1
53681,"A,,7,2,,,,,,3",67634,54,2016,1
53715,"A,,E,,,,,,,,2",66535,55,2016,1
53718,"A,,E,5,,,,,,1",66714,55,2016,1
53742,"A,,J,5,,,,,,2",67638,55,2016,1
53755,"A,,MI1,,,,,,3",66549,56,2016,1
53835,"A,7QC,,,,,,,2",66436,57,2016,1
53896,"A3,4,,B,,,,,1",66617,58,2016,1
54048,"A3,E,5,,,,,,1",67054,61,2016,1
54159,"A3,J,8,,,,,,5",67740,63,2016,1
54254,"A3,P,5,,,,,,11",66078,64,2016,1
54233,"A3,O,,,,,,,,21",67584,64,2016,1
54563,"AR5H,,,,,,,,54",67878,70,2016,1
54721,"B,,B,7,,,,,,1",67738,73,2016,1
54811,"B,,S,,,,,,,,1",73018,74,2016,1
54784,"B,,M1,,,,,,,1",67661,74,2016,1
55030,"BB,E,,,,,,,,21",66736,78,2016,0
55063,"BB,M,,,,,,,,22",67744,79,2016,1
55120,"BB1J,,,,,,,,23",67661,80,2016,1
55222,"BB3K,,,,,,,,11",67878,81,2016,1
55333,"BB7H,5,,,,,,1",66095,83,2016,1
55489,"BX2S,,,,,,,,11",66865,86,2016,1
55611,"C,,7,,,,,,,,31",67474,88,2016,1
55580,"C,,/,,C,,,,,5",66724,88,2016,1
55733,"C,,C,2,,,,,,11",67548,90,2016,0
55706,"C,,C,,,,,,,,3",67104,90,2016,0
55787,"C,,G,,,,,,,,5",66854,91,2016,0
55804,"C,,HR,C,,,,,2",66021,92,2016,0
55908,"C,,N,,,,,,,,1",67756,93,2016,1
55980,"C,,T,,,,,,,,12",67337,95,2016,1
55986,"C,,T,,QC,,,,1",67441,95,2016,1
56034,"C,,Y,,,,,,,,22",67880,96,2016,1
56118,"C,2G,,,,,,,,2",66047,97,2016,1
56096,"C,2C,,,,,,,,2",66801,97,2016,1
56174,"C,2R,,G,,,,,1",67557,98,2016,1
56167,"C,2QC,,,,,,,11",66801,98,2016,1
56232,"CP,S,,,,,,,,1",67752,99,2016,1
56206,"C,5J,2,,,,,,2",66861,99,2016,0
56268,"CR,T,,,,,,,,1",66086,100,2016,1
56404,"D,,F,,,,,,,,1",67576,102,2016,1
56473,"D,,M,,,,,,,,13",67738,103,2016,1
56486,"D,,P,,,,,,,,1",66776,104,2016,1
56757,"D,5K,,,,,,,,12",67438,108,2016,1
56919,"DI,F,,,,,,,,1",67622,111,2016,1
56894,"DI,D,,QC,,,,1",67661,111,2016,1
56947,"DI,J,,,,,,,,1",67444,112,2016,1
57034,"DI,T1,E,,,,,2",67065,113,2016,1
57023,"DI,S,5,,,,,,23",67757,113,2016,1
57001,"DI,R,,,,,,,,5",66041,113,2016,1
57208,"E,2-,,,,,,,,31",77414,116,2016,1
57307,"E,5E,7,,,,,,3",67837,118,2016,1
57324,"E,5J,2,,,,,,5",68327,118,2016,1
57305,"E,5E,,,,,,,,11",67736,118,2016,0
57449,"F,,F,,,,,,,,15",66064,120,2016,1
57400,"F,,/,,,,,,,,2",67560,120,2016,1
57508,"F,,T,,,,,,,,21",66736,121,2016,1
57484,"F,,L,,,,,,,,21",67653,121,2016,1
57469,"F,,H,,,,,,,,14",67525,121,2016,1
57651,"F,5-,,,,,,,,1",67871,124,2016,1
57646,"F,3R,,,,,,,,6",66411,124,2016,1
57639,"F,3J,4(,,,,,5",67425,124,2016,0
57698,"F,8D,,,,,,,,1",67520,125,2016,1
58089,"H,,AR7,,,,,,2",67730,132,2016,1
58097,"H,,B,,,,,,,,1",67659,132,2016,0
58127,"H,,BB7,,,,,,1",74352,132,2016,1
58459,"H,5=,,,,,,,,1",66861,138,2016,1
58509,"H,5P,7,,,,,,1",67475,139,2016,1
58736,"I,,A3,,,,,,,2",67850,143,2016,0
58763,"I,,BB,,,,,,,3",67639,144,2016,0
58902,"I,,M,,,,,,,,1",67864,146,2016,0
59135,"J,,=,,,,,,,,2",66776,150,2016,1
59166,"J,,A3,,,,,,,11",67420,151,2016,1
59255,"J,,D,5N,,E,,1",66546,152,2016,1
59294,"J,,G,,-,,,,,1",66725,153,2016,1
59400,"J,,K,,-,,,,,23",67410,155,2016,1
59399,"J,,K,,-,,,,,12",67104,155,2016,1
59433,"J,,L,,-,,,,,22",67764,155,2016,1
59418,"J,,K1,QC,,,,3",67450,155,2016,1
59482,"J,,M1,J,2,,,21",67005,156,2016,1
59630,"J,,X,,,,,,,,3",67864,159,2016,1
59716,"J,1K,7,,,,,,4",66032,160,2016,1
59854,"J,5E,7,,,,,,1",67664,163,2016,1
59973,"J,7E,2E,,,,,1",67663,165,2016,1
60031,"J,7P,,,,,,,,11",67752,166,2016,1
60169,"K,,AR1,,,,,,21",67730,168,2016,0
60172,"K,,AR5,,,,,,31",67863,168,2016,1
60455,"K1,-,,C,,,,,1",67836,173,2016,1
60516,"K1,W,,,,,,,,11",66701,174,2016,1
60529,"K12B,,QC,,,,1",67853,174,2016,1
60522,"K12+,,B,,,,,2",67752,174,2016,1
60544,"K12M,,-,,,,,1",66401,175,2016,1
60638,"L,,6,,,,,,,,11",67876,176,2016,1
60651,"L,,7,,,,,,,,63",67672,177,2016,1
60660,"L,,7,5,,,,,,2",67019,177,2016,1
60752,"L,,F,,,,,,,,1",67560,178,2016,1
60796,"L,,J,,,,,,,,41",67460,179,2016,0
60905,"L,,S,2,,,,,,1",66956,181,2016,1
60896,"L,,S,,,,,,,,52",67147,181,2016,1
60974,"L,2-,,,,,,,,2",66865,182,2016,0
60969,"L,,\,,,,,,,,43",67849,182,2016,1
61033,"L,2F,,+,,C,,2",75608,183,2016,1
61006,"L,2A3,L,,M,,2",67756,183,2016,1
61042,"L,2F,,,,,,,,51",66013,183,2016,1
61143,"L,2R,,,,,,,,11",66833,185,2016,1
61131,"L,2P,,P,,,,,1",57793,185,2016,0
61161,"L,2V,,,,,,,,12",67838,186,2016,0
61217,"L,5J,7,,,,,,2",67623,187,2016,0
61297,"M,,/,,T,,4,,1",67042,188,2016,1
61499,"M,,J,7,,,,,,32",67149,192,2016,1
61549,"M,,M,,,,,,,,25",67546,192,2016,1
61629,"M,,T,,,,,,,,14",67801,194,2016,1
61615,"M,,S,,,,,,,,3",67853,194,2016,1
61827,"MI1D,5,,,,,,1",66967,197,2016,1
61933,"MI2I,,,,,,,,2",66858,199,2016,0
62018,"N,,D,,,,,,,,21",67439,201,2016,1
62071,"N,,L,,-,,,,,6",73108,202,2016,1
62188,"O,,7,,,,,,,,3",67045,204,2016,1
62301,"O,,J,,,,,,,,52",67523,206,2016,1
62444,"O,,T,7-,,,,,1",67344,208,2016,0
62517,"P,,+,,,,,,,,22",66549,209,2016,1
62564,"P,,BB1,,,,,,1",67003,210,2016,1
62790,"QC,H,,QC1,,,2",67031,214,2016,1
62825,"QC,L,,,,,,,,21",66938,215,2016,1
63008,"QC1C,2,,,,,,1",67654,218,2016,0
63236,"QC1N,,-,,,,,1",67025,222,2016,1
63235,"QC1N,,,,,,,,3",67501,222,2016,1
63286,"QC1R,,C,,,,,2",67137,223,2016,1
63437,"R,,-,,R,,,,,12",67563,226,2016,1
63456,"R,,7,,,,,,,,3",67842,226,2016,0
63524,"R,,H,5,,,,,,11",67401,227,2016,1
63544,"R,,J,,QC,,,,21",67123,227,2016,0
63559,"R,,K,,-,,,,,2",67417,228,2016,1
63625,"R,,QC,-,,,,,21",67861,229,2016,1
63793,"R,2K17,,,,,,6",67846,232,2016,1
63845,"R,3-,,,,,,,,2",67552,233,2016,1
63839,"R,2W,,,,,,,,11",66509,233,2016,1
63912,"R,5MI,,,,,,,5",66970,234,2016,1
64016,"S,,-,,Y,,,,,1",67748,236,2016,1
64144,"S,,CM,,,,,,,1",67701,238,2016,1
64134,"S,,C,,-,,,,,13",67831,238,2016,0
64130,"S,,C,,,,,,,,17",67111,238,2016,1
64208,"S,,I,,,,,,,,12",66401,239,2016,1
64331,"S,,S,,,,,,,,22",67401,241,2016,1
64594,"S,5QC,,,,,,,21",67526,246,2016,1
64800,"T,,=,,,,,,,,21",67432,249,2016,1
64755,"T,,-,,T,,,,,1",66951,249,2016,0
64884,"T,,H,,QC,,,,2",67059,251,2016,1
65001,"T,,QC,,,,,,,31",67801,253,2016,1
65256,"T,5O,,,,,,,,1",67756,257,2016,0
65208,"T,5),,,,,,,,1",67663,257,2016,0
65438,"T1,S,,-,,,,,11",67543,261,2016,0
65554,"TA5D,,,,,,,,6",66746,263,2016,1
65605,"U,,-,,,,,,,,26",67579,264,2016,0
65658,"U,,J,,,,,,,,5",66531,265,2016,1
65803,"UN,R,,,,,,,,3",67871,267,2016,0
66050,"W,,-,,,,,,,,1",67467,271,2016,1
66125,"W,,BB2,,,,,,12",66846,273,2016,1
66433,"X,,E,,,,,,,,2",66966,278,2016,0
66567,"Y1,C,,,,,,,,1",80014,280,2016,1
66628,"Z,,L,6,,,,,,1",67661,282,2016,1
66686,"[,,R,,,,,,,,1",66846,283,2016,1
66784,"\,,H,,,,,,,,4",66543,284,2016,1
66957,"],,D,,A,,,,,1",67831,287,2016,1
66992,"],,R,,,,,,,,31",66937,288,2016,1
67039,"~,,J,,,,,,,,11",67835,289,2016,0
67055,"~,,M,,QC,,,,1",67361,289,2016,1